video_id,collected_at,views,likes,comment_count
T3gwilUpKF8,2026-03-16 12:56:49,1818,28,1
lryZl7OxfRY,2026-03-16 12:56:49,1781,30,0
mvvDQMLVREE,2026-03-16 12:56:49,2344,56,6
OA-ZhSsYnUk,2026-03-16 12:56:49,1818,32,0
1EI-X6G_ZpQ,2026-03-16 12:56:49,1324,33,2
3EBViwh-L8s,2026-03-16 12:56:49,1680,49,3
0wsbNLdCkdw,2026-03-16 12:56:49,2185,17,4
dorZMpnLVZc,2026-03-16 12:56:49,1828,26,0
vpti2_azGbU,2026-03-16 12:56:49,3196,96,21
9-MrUNcl43I,2026-03-16 12:56:49,883,23,2
RoscxNSzFqE,2026-03-16 12:56:49,2634,37,5
KRSk7U3ZxJ0,2026-03-16 12:56:49,2351,69,21
IwTAzmZ1Q5g,2026-03-16 12:56:49,3061,60,12
KsIBFwSvtYA,2026-03-16 12:56:49,1743,17,0
kU-8mI33aVI,2026-03-16 12:56:49,692,17,3
2tcT0uW86cs,2026-03-16 12:56:49,1984,26,0
84I8Bbj9OMs,2026-03-16 12:56:49,12232,335,51
rBLtFROf2Xc,2026-03-16 12:56:49,2255,38,0
FhAwlshrZUU,2026-03-16 12:56:49,3132,66,11
Q_UuN8QrZJ0,2026-03-16 12:56:49,2520,77,16
xOqmfxd2w6k,2026-03-16 12:56:49,5221,109,51
yPU4BCPUDzw,2026-03-16 12:56:49,10028,580,18
0kS3yn_eUWQ,2026-03-16 12:56:49,8785,465,29
XaIfzpzC8z0,2026-03-16 12:56:49,5412,390,5
bWqQjh9IoxM,2026-03-16 12:56:49,6006,459,27
bGOwP60uDSs,2026-03-16 12:56:49,20274,1084,32
2k7TNZwZqV8,2026-03-16 12:56:49,11831,752,37
jL-0DHzxq-c,2026-03-16 12:56:49,17537,371,6
suf1RARsW9U,2026-03-16 12:56:49,12761,595,42
8U7sPLmrPrE,2026-03-16 12:56:49,12545,536,8
0TPYUZ1OWNo,2026-03-16 12:56:49,27363,1868,50
zO5Fzhw4G0E,2026-03-16 12:56:49,16007,1136,26
tQij3CwjNQM,2026-03-16 12:56:49,14997,1139,24
O9fS43kiqS0,2026-03-16 12:56:49,23244,2213,69
UW-oVGwCwmU,2026-03-16 12:56:49,11512,825,14
xj_gcdL_t10,2026-03-16 12:56:49,21213,782,16
myWFV22EgrI,2026-03-16 12:56:49,21679,1037,62
Ffjs3moj19E,2026-03-16 12:56:49,12446,1112,22
P9rUqVGVa9M,2026-03-16 12:56:49,17764,604,32
UFVu3WATBCI,2026-03-16 12:56:49,17465,927,7
Lqra2JApsoo,2026-03-16 12:56:49,17075,1073,8
vTMggYjO1yc,2026-03-16 12:56:49,15223,582,8
9l5jC47Vx_A,2026-03-16 12:56:49,10185,740,10
Ns9vjiXiTG8,2026-03-16 12:56:49,15559,775,23
JQZF5s7ccik,2026-03-16 12:56:49,9034,191,30
UU34U8ViOFk,2026-03-16 12:56:49,23241,911,16
gxrphZRrCh4,2026-03-16 12:56:49,25085,994,17
nXESsyFnM-4,2026-03-16 12:56:49,4736,297,31
QNdMd7HMhPM,2026-03-16 12:56:49,7708,251,25
v7LWsF5qVLA,2026-03-16 12:56:49,13176,653,11
2pkYvz2IK1Y,2026-03-16 12:56:49,26110,1282,33
mqfu2wl1obU,2026-03-16 12:56:49,2488,148,15
LM90j2B99wE,2026-03-16 12:56:49,14497,511,34
EAFW00RN5mM,2026-03-16 12:56:49,7382,367,19
WHSGbeOBaI8,2026-03-16 12:56:49,13429,633,34
TPOTND5yWLg,2026-03-16 12:56:49,3537,247,29
zitJ99DYY3c,2026-03-16 12:56:49,17418,522,17
86CSrUoOMW4,2026-03-16 12:56:49,46545,3384,38
0VL4S2BjvR8,2026-03-16 12:56:49,18923,924,13
j0rKC-jiZc8,2026-03-16 12:56:49,3405,229,20
GiPrq_iQ5wM,2026-03-16 12:56:49,19363,776,20
OoMSvV8qkEk,2026-03-16 12:56:49,215982,8383,103
HeOD2yzthJk,2026-03-16 12:56:49,22128,1044,29
IgwPlWCx448,2026-03-16 12:56:49,6259,316,35
wFlrvN-Y_IA,2026-03-16 12:56:49,739311,63282,617
3qUAmdLcrrw,2026-03-16 12:56:49,37876,1760,23
rR2oM43urkA,2026-03-16 12:56:49,198766,9044,54
RYnvM3qyK3g,2026-03-16 12:56:49,16218,645,175
gRXf76iVV3E,2026-03-16 12:56:49,55272,2197,53
mLXrlHUEew8,2026-03-16 12:56:49,23158,645,25
4k9ZEQa6RG0,2026-03-16 12:56:49,18666,399,7
g0bHItY3Cas,2026-03-16 12:56:49,15115,413,7
vEBiqB5A-84,2026-03-16 12:56:49,15391,440,21
EFb-sNcuaBo,2026-03-16 12:56:49,4829,227,46
YjNaPu4JMC0,2026-03-16 12:56:49,15300,508,22
CzOvUddknMc,2026-03-16 12:56:49,33582,1086,48
39JtERjG-08,2026-03-16 12:56:49,31570,1183,23
OWG9uIL7Kh8,2026-03-16 12:56:49,17539,683,73
Mvnaa1DJGLE,2026-03-16 12:56:49,27371,1261,38
zfX01pb5Rt8,2026-03-16 12:56:49,37219,2007,92
ywwexQpT848,2026-03-16 12:56:49,151741,4355,170
